Enipeus Vallis,36.8,267.2,527
Eos Chaos,-16.82,313.48,497
Eos Chasma,-12.15,320.83,1305
Eos Mensa,-11.01,317.84,346
Erebus Montes,35.66,185.02,811
Eridania,-44.66,140.0,0
Eridania Mons,-57.02,137.86,143
Eridania Planitia,-38.15,122.21,1062
Eridania Scopulus,-52.61,141.79,1017
Erythraea Fossa,-27.27,329.06,155
Erythraeum Chaos,-21.84,347.62,147
Erythraeum Planum,-34.18,295.0,1750
Escalante,0.19,115.39,75
Escorial,76.89,304.96,22
Esira,8.96,313.39,16
Esk,45.21,352.98,3
Espino,-19.69,110.34,12
Eudoxus,-44.52,212.78,98
Eumenides Dorsum,4.79,203.6,569
Eunostos,21.77,240.0,0
Euphrates,19.78,25.0,0
Euphrates Patera,38.43,10.26,20
Euripus Mons,-44.82,105.18,88
Evpatoriya,46.95,134.36,1
Evros Vallis,-12.65,13.83,358
Faith,42.92,348.17,5
Falun,-23.96,335.33,10
Fancy,-35.45,113.6,49
Faqu,-24.54,106.34,12
Farah Vallis,-6.03,136.8,76
Farim,-44.31,139.28,3
Fastov,-25.04,339.63,11
Felis Dorsa,-21.87,294.1,244
Fenagh,34.29,144.37,6
Fesenkov,21.66,273.47,87
Firsoff,2.73,350.63,90
Fitzroy,-35.69,112.06,38
Flammarion,25.22,48.28,173
Flat,-25.42,340.45,3
Flateyri,-35.86,330.92,9
Flaugergues,-16.8,19.22,236
Floq,14.94,107.16,2
Flora,-44.67,308.55,18
Focas,33.56,12.75,72
Fontana,-62.91,287.88,80
Foros,-33.4,332.13,24
Fortuna Fossae,4.64,267.31,324
Fournier,-4.3,72.64,114
Freedom,43.36,351.02,12
Frento Vallis,-50.03,345.16,251
Frigoris Scopulus,79.38,176.0,0
Funchal,22.98,310.56,1
Gaan,38.66,356.6,3
Gagra,-20.64,337.9,13
Gah,-44.69,327.36,2
Galap,-37.66,192.93,5
Galaxias Chaos,33.83,146.52,234
Galaxias Colles,36.8,147.48,610
Galaxias Fluctūs,30.96,143.03,607
Galaxias Fossae,36.63,142.0,552
Galaxias Mensae,36.18,147.3,327
Galaxius Mons,34.76,142.31,22
Galdakao,-13.34,176.63,33
Gale,-5.37,137.81,154
Gali,-43.75,322.81,25
Galilaei,5.72,333.09,137
Galle,-50.63,329.0,223
Galu,-22.08,338.33,13
Gamboa,40.77,315.64,30
Gan,61.72,229.0,20
Gander,-31.26,94.22,36
Gandu,-45.38,312.72,9
Gandzani,34.24,269.17,51
Ganges Catena,-2.7,291.22,81
Ganges Cavus,-10.09,308.55,43
Ganges Chaos,-9.76,313.96,113
Ganges Chasma,-7.96,312.11,574
Ganges Mensa,-7.23,311.25,135
Gardo,-26.67,335.23,15
Gari,-35.88,288.77,9
Garm,48.25,350.94,4
Garni,-11.52,290.31,2
Gasa,-35.72,129.4,7
Gastre,24.61,112.53,7
Gatico,-20.87,338.87,18
Gediz Vallis,-4.85,137.44,8
Gehon,14.83,360.0,0
Gemina Lingula,81.87,2.59,772
Gemini Scopuli,80.39,26.1,1000
Geryon Montes,-7.72,278.38,377
Gigas Fossae,3.55,230.44,190
Gigas Sulci,10.02,232.27,418
Gilbert,-68.0,86.08,121
Gill,15.76,5.55,83
Glazov,-20.62,333.41,22
Gledhill,-53.17,87.1,78
Glendore,18.34,308.33,8
Glide,-8.13,316.82,9
Globe,-23.68,332.65,50
Goba,-23.22,338.99,10
Goff,23.26,104.86,7
Gokwe,-27.14,78.12,2
Gol,47.15,349.36,9
Gold,20.03,328.76,8
Golden,-22.01,326.51,19
Goldstone,47.77,134.58,1
Gonnus Mons,41.21,269.12,49
Gordii Dorsum,4.11,215.86,481
Gordii Fossae,14.83,232.4,369
Gorgonum Chaos,-37.26,189.1,150
Gori,-22.95,331.17,6
Graff,-21.18,153.81,154
Granicus Valles,30.58,129.97,777
Gratteri,-17.71,199.94,7
Greeley,-36.79,3.92,457
Green,-52.3,351.46,182
Greg,-38.59,112.89,68
Grindavik,25.4,321.01,11
Gringauz,-20.67,324.3,71
Grjótá Valles,15.38,166.38,343
Grójec,-21.47,329.16,37
Groves,-4.06,315.45,10
Guaymas,25.66,314.97,20
Guir,-21.54,339.5,18
Gulch,15.85,109.02,8
Gunjur,-0.17,146.66,26
Gunnison,-43.67,102.92,39
Gusev,-14.53,175.52,158
Gwash,38.96,356.84,4
Hadley,-19.26,156.97,115
Hadriaca Patera,-30.2,92.79,66
Hadriacus Cavi,-27.25,78.05,59
Hadriacus Mons,-31.29,91.86,450
Hadriacus Palus,-27.25,77.3,176
Halba,-26.01,303.86,31
Haldane,-52.75,129.26,76
Hale,-35.69,323.64,137
Halex Fossae,27.35,233.96,147
Halley,-48.34,300.73,83
Ham,-44.67,327.5,1
Hamaguir,48.68,132.51,0
Hamelin,20.25,327.25,9
Handlová,37.69,271.41,4
Harad̦,-27.46,331.99,8
Hargraves,20.74,75.74,60
Harmakhis Vallis,-40.98,90.06,526
Harris,-21.9,66.81,81
Hartwig,-38.66,344.14,99
Hashir,3.19,85.01,16
Havel Vallis,0.77,302.54,240
Heaviside,-70.5,264.78,83
Hebes Chasma,-1.07,283.94,316
Hebes Mensa,-1.02,283.22,112
Hebrus Valles,19.88,126.74,325
Hecates Tholus,32.12,150.24,181
Hegemone Dorsum,-54.72,315.1,143
Heimdal,68.33,235.44,10
Heinlein,-64.48,116.31,85
Hellas,-39.67,70.0,0
Hellas Chaos,-47.12,64.41,590
Hellas Chasma,-34.64,65.47,148
Hellas Montes,-37.63,97.61,159
Hellas Planitia,-42.43,70.5,2299
Hellespontus,-49.67,35.0,0
Hellespontus Montes,-44.37,42.76,711
Helmholtz,-45.4,338.73,111
Henbury,-63.49,212.27,25
Henry,10.79,23.45,167
Henry Moore,-59.72,53.9,65
Hephaestus Fossae,20.84,122.85,633
Hephaestus Rupēs,23.54,114.9,1707
Hera Patera,18.45,226.23,32
Herculaneum,19.31,301.35,34
Her Desher Vallis,-25.08,312.07,117
Hermes Patera,18.33,226.57,37
Hermus Vallis,-5.32,212.19,53
Herschel,-14.48,129.89,297
Hesperia,-19.78,120.0,0
Hesperia Dorsa,-22.8,113.16,818
Hesperia Planum,-21.42,109.89,1601
Hibes Montes,3.79,171.34,140
Hiddekel,14.83,15.0,0
Hiddekel Cavus,29.43,16.24,23
Hiddekel Rupes,16.77,16.47,313
Hilo,-44.46,324.5,20
Himera Valles,-21.54,337.34,175
Hipparchus,-44.45,208.8,94
Hīt,47.06,138.35,7
Holden,-26.04,325.98,152
Holmes,-74.86,66.55,114
Honda,-22.4,343.6,9
Hooke,-44.92,315.6,137
Hope,44.84,349.7,7
Horarum Mons,-51.05,323.44,20
Horowitz,-32.06,140.75,64
Houston,48.23,135.95,1
Hrad Vallis,38.17,135.91,974
Hsūanch'eng,46.72,132.69,1
Huallaga Vallis,-26.67,79.07,92
Huancayo,-3.64,320.23,24
Huggins,-49.04,155.84,82
Hunten,-39.18,23.69,82
Huo Hsing Vallis,30.19,66.61,332
Hussey,-53.32,233.41,99
Hutton,-71.63,104.6,91
Huxley,-62.67,100.77,106
Huygens,-13.88,55.58,467
Hyblaeus Catena,21.6,140.62,10
Hyblaeus Chasma,21.98,141.26,56
Hyblaeus Dorsa,13.16,130.32,887
Hyblaeus Fossae,21.44,137.06,375
Hydaspis Chaos,3.09,333.07,336
Hydrae Cavus,-7.93,298.69,64
Hydrae Chaos,-5.9,300.03,66
Hydrae Chasma,-6.75,297.99,55
Hydraotes Chaos,1.12,324.71,419
Hydraotes Colles,-0.02,326.32,47
Hypanis Valles,9.46,313.58,220
Hyperboreae Undae,79.96,310.51,463
Hyperborea Lingula,80.32,306.46,124
Hyperborei Cavi,79.91,310.3,92
